bank,id,name,pitch_keys,coarse_semitones,fine_cents,primary_hz,alternate_hz,status
01,0000,Ring Bell,0x1F 0x2B,0,0,11025,22050,ROM-derived
01,0001,Multiple Ring Bell,0x1F,0,10,11089,,ROM-derived
01,0002,,0x1F,0,0,11025,,ROM-derived
01,0003,,0x1F,0,0,11025,,ROM-derived
01,0004,,0x1F 0x21,0,0,11025,12375,ROM-derived
01,0005,,0x1F,0,0,11025,,ROM-derived
01,0006,,0x1F,0,0,11025,,ROM-derived
01,0007,,0x1F,0,0,11025,,ROM-derived
01,0008,,0x1F,0,0,11025,,ROM-derived
01,0009,,,0,0,,,No fixed script reference
01,000A,,0x1F,0,0,11025,,ROM-derived
01,000B,,0x1F 0x1A,0,0,11025,8259,ROM-derived
01,000C,,0x1F,0,0,11025,,ROM-derived
01,000D,,0x1F,0,0,11025,,ROM-derived
01,000E,,0x1F,0,0,11025,,ROM-derived
01,000F,,0x1F,0,0,11025,,ROM-derived
01,0010,,0x1F,0,0,11025,,ROM-derived
01,0011,,0x1F,0,0,11025,,ROM-derived
01,0012,,0x1F,0,0,11025,,ROM-derived
01,0013,,0x1F,0,0,11025,,ROM-derived
01,0014,,0x1F,0,0,11025,,ROM-derived
01,0015,,0x1F,0,0,11025,,ROM-derived
01,0016,,0x1F,0,0,11025,,ROM-derived
01,0017,,0x1F 0x21,0,0,11025,12375,ROM-derived
01,0018,,0x1D 0x21,0,0,9822,12375,ROM-derived
01,0019,,0x20 0x21,0,0,11681,12375,ROM-derived
01,001A,,0x1F,0,0,11025,,ROM-derived
01,001B,,0x1F,0,0,11025,,ROM-derived
01,001C,,0x1F,0,0,11025,,ROM-derived
01,001D,,0x1F,0,0,11025,,ROM-derived
01,001E,Bone Crack,0x1F,0,0,11025,,ROM-derived
01,001F,Run into ring post,0x18,0,0,7358,,ROM-derived
01,0020,,0x1F,0,0,11025,,ROM-derived
01,0021,,0x1F,0,0,11025,,ROM-derived
01,0022,,,0,0,,,No fixed script reference
01,0023,,0x1F,0,0,11025,,ROM-derived
01,0024,,0x1F,0,0,11025,,ROM-derived
01,0025,,0x1B 0x1D 0x1F,0,64,9080,10192;11440,ROM-derived
01,0026,,0x1F,0,0,11025,,ROM-derived
01,0027,,0x1F,0,0,11025,,ROM-derived
01,0028,,0x1F,0,0,11025,,ROM-derived
01,0029,,,0,0,,,No fixed script reference
