selector_id,theme_id,name
3F00,18,nWo
3F01,19,Wolfpac
3F02,1A,nWo B
3F03,1B,Steiners
3F04,1C,Sting (Crow)
3F05,1D,Lex
3F06,1E,Macho Man (WCW)
3F07,1F,Mortis
3F08,20,Raven
3F09,21,DDP
3F0A,22,Goldberg
3F0B,23,Bret
3F0C,24,Benoit
3F0D,25,Faces of Fear
3F0E,26,Finlay
3F0F,27,Harlem Heat
3F10,28,Saturn
3F11,29,Disco
3F12,2A,Jim Neidhart
3F13,2B,Bulldog
3F14,2C,Glacier
3F15,2D,Dungeon of Doom
3F16,2E,Yugi
3F17,2F,Nitro
3F18,30,La Parka
3F19,31,Jericho
3F1A,32,LWO
3F1B,33,Psychosis
3F1C,34,Rey (Masked)
3F1D,35,Malenko
3F1E,36,Uiltimo
3F1F,37,Alex Wright
3F20,38,Chavo
3F21,39,Piper
3F22,3A,Boo
3F23,3B,Hollywood
3F24,3C,American Made
3F25,3D,Surfer Sting
3F26,3E,Juvi
3F27,3F,Kanyon
3F28,40,Bischoff
3F29,41,Wrath 96
3F2A,42,Scott Norton (Fire & Ice)
3F2B,43,Macho Man (nWo)
3F2C,44,Horsemen
3F2D,45,Regal
3F2E,46,Ice Train
3F2F,47,Kidman
3F30,48,Ernest Miller
3F31,49,Jerry Flynn
3F32,4A,Wrath 98
3F33,4B,Eddie (Face)
3F34,4C,El Dandy
3F35,4D,Rey (Unmasked)
3F36,4E,Super Calo
3F37,4F,Jushin Liger
3F38,50,Mr. JL
3F39,51,Mongo
3F3A,52,Duggan
3F3B,53,Norman Smiley
3F3C,54,Hugh Morrus
3F3D,55,Big Bubba
3F3E,56,Flair
3F3F,57,Warrior
3F40,58,Rick Rude WCW
3F41,59,Dusty Rhodes WCW
3F42,5A,Prince Ieakuea
3F43,5B,Jeff Jarrett
3F44,5C,Bam Bam
